title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,latitude,longitude
"Polyphonic Studios, LLC",5.0,11,3065 Cranberry Hwy Suite C-18,East Wareham,Massachusetts,US,https://www.polyphonicstudios.com/,(508) 759-1906,Recording studio,https://www.google.com/maps/search/?api=1&query=Polyphonic%20Studios%2C%20LLC&query_place_id=ChIJOf3BhnPJ5IkR-QE_oAlt8C4,,
TPS (The Print Shop),5.0,1,59 Kennebec Ave 2nd Floor,Oak Bluffs,Massachusetts,US,http://www.printshopaudio.com/,(413) 265-5064,Recording studio,https://www.google.com/maps/search/?api=1&query=TPS%20(The%20Print%20Shop)&query_place_id=ChIJO7BT7w4p5YkRjlOloXnsrsE,,
"Mixed By Toch Recording, Mixing and Mastering Studio",5.0,14,240 N Main St,Millbury,Massachusetts,US,http://www.mixedbytoch.com/,(774) 312-5344,Recording studio,https://www.google.com/maps/search/?api=1&query=Mixed%20By%20Toch%20Recording%2C%20Mixing%20and%20Mastering%20Studio&query_place_id=ChIJZRVE7xUF5IkR8friwNwhgVk,,
The Musik Studio of Cape Cod,,0,421 Wianno Ave,Osterville,Massachusetts,US,http://www.themusikstudio.com/,(508) 332-8702,Music instructor,https://www.google.com/maps/search/?api=1&query=The%20Musik%20Studio%20of%20Cape%20Cod&query_place_id=ChIJ_TF9jHct-4kRnZU0o9G-YyE,,
SSN Recording Studios,5.0,3,Greenland Pond Rd,Brewster,Massachusetts,US,https://www.ssnstudios.com/,(774) 229-3871,Recording studio,https://www.google.com/maps/search/?api=1&query=SSN%20Recording%20Studios&query_place_id=ChIJCwrm9B1A-4kROmAXQwkVZqo,,
Peerless Mastering,4.6,9,161 North St,Newton,Massachusetts,US,https://peerlessmastering.com/,(617) 527-2200,Recording studio,https://www.google.com/maps/search/?api=1&query=Peerless%20Mastering&query_place_id=ChIJvYNa2cCC44kR6SeNzS_gOKY,,
Phoenix Down Recording,4.9,123,228 Lowell St,Somerville,Massachusetts,US,http://phoenixdownrecording.com/,(973) 525-9445,Recording studio,https://www.google.com/maps/search/?api=1&query=Phoenix%20Down%20Recording&query_place_id=ChIJIR6rCC9344kRm0qEF_Wlbu0,,
Checkpoint East Studios,5.0,6,129 MA-6A,Orleans,Massachusetts,US,http://www.checkpointeast.com/,(774) 316-3221,Recording studio,https://www.google.com/maps/search/?api=1&query=Checkpoint%20East%20Studios&query_place_id=ChIJE0ZLMA9p-4kRBbepUPntZdU,,
Eidolon Recording Studios,5.0,87,137 Grove St,Waltham,Massachusetts,US,https://www.eidolonrecords.com/,(617) 818-3399,Recording studio,https://www.google.com/maps/search/?api=1&query=Eidolon%20Recording%20Studios&query_place_id=ChIJzczKxcmC44kRHLEvRv8NaE8,,
Railroad Park Recording Co.,5.0,8,18 McKinley St,Westport,Massachusetts,US,,(508) 971-8869,Recording studio,https://www.google.com/maps/search/?api=1&query=Railroad%20Park%20Recording%20Co.&query_place_id=ChIJx0rFd-L95IkR00c5oYrsiV0,,
Sound Alchemist LLC,5.0,2,139 Bellwood Cir,Bellingham,Massachusetts,US,https://www.soundalchemistllc.com/,(508) 948-5486,Recording studio,https://www.google.com/maps/search/?api=1&query=Sound%20Alchemist%20LLC&query_place_id=ChIJ2QKesbJt5IkR77ekhuC3Tes,,
Wingbeats Recording Studio,4.9,14,100 Southern Eagle Cartway,Brewster,Massachusetts,US,http://wingbeatsrecordingstudio.com/,(774) 323-8515,Recording studio,https://www.google.com/maps/search/?api=1&query=Wingbeats%20Recording%20Studio&query_place_id=ChIJjd4xyEtr-4kRUBSB7R2Muuo,,
Mix One Studios Inc,4.6,11,14 Fordham Rd,Allston,Massachusetts,US,http://www.mixonestudios.com/,(617) 536-6767,Recording studio,https://www.google.com/maps/search/?api=1&query=Mix%20One%20Studios%20Inc&query_place_id=ChIJR5785x1644kRhXAhz15tbyk,,
Studio 219 Boston Underground,5.0,6,55 William T Morrissey Blvd Suite 219,Dorchester,Massachusetts,US,,(617) 685-9329,Recording studio,https://www.google.com/maps/search/?api=1&query=Studio%20219%20Boston%20Underground&query_place_id=ChIJRxA7Ao1744kRzNK9IlSu7hs,,
Royal Starz Studios,4.8,19,"Royal Starz Studios, 12 Shaw St",Quincy,Massachusetts,US,https://royalstarzentertainmentllc.simplybook.me/v2/,(508) 232-9115,Recording studio,https://www.google.com/maps/search/?api=1&query=Royal%20Starz%20Studios&query_place_id=ChIJdabcv05j44kRpLs8AzpNVMM,,
1357 Recording Studio,5.0,11,1357 Bernardston Rd,Greenfield,Massachusetts,US,https://www.1357recordingstudio.com/,(208) 562-7984,Recording studio,https://www.google.com/maps/search/?api=1&query=1357%20Recording%20Studio&query_place_id=ChIJE-DTsTgl4YkR-Q5j6eirOcg,,
